"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.587305104895105,0.146833776223776,0.00700160839160839,0.571447813268198,1e-05,0.082660849668784,1e-05,1e-05,1e-05,96,3,70.2319181430215
"2",0.99981,0.118867342657343,1e-05,0.99981,1e-05,1e-05,1e-05,1e-05,1e-05,77,12,68.1984525014537
"3",0.678196013986014,0.0699260839160839,0.195775034965035,0.623532300344675,0.205452875042786,0.0667418953562097,0.122912980906842,0.117335741714399,0.371166001425022,83,3,67.1855537357613
"4",0.468447762237762,0.258699510489511,0.300649160839161,0.443916012428611,0.11819393413762,0.128864170989386,0.143174862975683,0.250089091124986,0.396498240710078,89,3,68.9212915790352
"5",0.727137272727273,0.573321888111888,0.377556853146853,0.770956210293632,0.957251785679983,0.643751497224288,0.368900845204203,0.623106118824518,0.443722633020712,91,8.18126924692202,69.7733956949309
"6",0.99981,0.34959041958042,0.00700160839160839,0.999809982667806,1e-05,0.999801345409479,1e-05,1e-05,1e-05,81,3,69.5009587483384
"7",0.706162447552448,0.839003006993007,0.139842167832168,0.940270749132158,0.426011882859303,0.959772743893095,0.6314296557212,0.180275508027078,0.092945658661073,98,37.0596787959016,69.9435661390512
"8",0.82501979020979,0.230733076923077,0.0769176923076923,0.71253804919315,0.368521485149626,0.381863700298101,0.528505972975751,0.126028834017993,0.078896841887336,93,33.2688847284541,69.2926970521044
"9",0.489422587412587,0.873961048951049,0.244716293706294,0.581325818474589,0.0200238845538396,0.903688980276342,0.994364265178619,0.0718836498511929,0.169551741536621,86,3,68.1304625933324
"10",0.95786034965035,0.936885524475524,0.00700160839160839,0.996890927700099,0.00374248467916361,0.990338369722687,0.99981,0.134599951708622,1e-05,85,3,69.6653900840471
"11",0.552347062937063,0.915910699300699,0.258699510489511,0.758044068228408,0.434449860576623,0.902707515196865,0.909361398935798,0.213623665049099,0.13836451563268,90,3,69.7251097673011
"12",0.985826783216783,0.328615594405594,0.223741468531469,0.99865768163495,0.999790939420815,0.44293762015879,0.575921846893913,0.879196656661729,0.263312487403247,86,6,70.2399126454798
"13",0.86696944055944,0.510397412587413,0.0419596503496504,0.931145185997814,0.352136095509337,0.701225002219608,0.999126814908211,0.089969963034858,0.0515214969486238,88,28.9063462346101,68.6949518428247
"14",0.678196013986014,0.265691118881119,0.461456153846154,0.517903261323609,0.858853706112856,0.451602983868549,0.212074485784974,0.722669286441955,0.56807875162234,70,9,62.7520871322693
"15",0.943877132867133,0.314632377622378,0.0139932167832168,0.966858826384754,0.679965465584101,0.443246032422411,0.130653910939454,0.455525192928359,0.0453273097401907,69,9,64.1166640822354
