"","1","2","3","1|2","1|3","2|1","2|3","3|1","3|2","","",""
"result.54",0.82343575,0.39286675,0.17358625,0.818275906391304,0.706308509979012,0.459738672926948,0.405684048599319,0.359769596879325,0.167666571092174,80,3,69.1452350660317
"result.55",0.03022975,0.29896075,0.99901,0.0219341233308028,0.999009999966783,0.241837784416074,0.0214412158757644,0.99901,0.999009893416547,82,3,67.9018515813092
"result.56",0.902107,0.055954,0.2362735,0.510125361709977,0.866584852232577,0.242831614588722,0.0948798905799933,0.518883156140086,0.426340860721565,109,96.1122157346506,70.3417450665583
"result.57",0.81993925,0.1193905,0.46779175,0.732425067067561,0.948135677545215,0.157724724780001,0.131140695005875,0.929611538462005,0.512737207737012,59,3,60.3669753278195
"result.58",0.57118825,0.51924025,0.18257725,0.564225821396228,0.260119207819245,0.548548881293577,0.50602282282039,0.0978881149270178,0.162508402006349,86,6,70.2588656715031
"result.59",0.95280625,0.3801295,0.03672325,0.950127703182225,0.592995394857954,0.564572606318372,0.471077991338487,0.22882826295782,0.037060873562272,62,6,62.7337275887616
"result.60",0.6558535,0.36089875,0.24401575,0.595987981519125,0.409465433764051,0.469581210981647,0.456471474974639,0.245525451769486,0.274918613667171,87,39.5158710551355,68.6213993095504
"result.61",0.8816275,0.35965,0.167842,0.853248125491438,0.749642213934571,0.579191454290613,0.415925989732702,0.590269273173336,0.18568920718633,52,6,56.1220659431239
"result.62",0.68907025,0.34491475,0.33092875,0.678220302032332,0.540343044771798,0.398948744699762,0.391333296355902,0.49654228189343,0.339766070585754,80,3,69.0435139871609
"result.63",0.947062,0.1014085,0.08167825,0.894000130951349,0.712304333458939,0.22302888655394,0.187498149441686,0.389208890452049,0.102336470440671,86,12,70.6191919819162
"result.64",0.28347625,0.365644,0.61939,0.188713800398158,0.237914735593093,0.23753832065991,0.354904796656697,0.315403710542195,0.663374392326523,74,12.3953970337237,64.9959070711379
"result.65",0.6648445,0.09016975,0.383626,0.419783175993141,0.61643969474579,0.105811825846835,0.0801038607783546,0.589542052793672,0.563572195050894,68,5.18126924692202,64.3858963513199
"result.66",0.088921,0.15985,0.96029875,0.0194812334670749,0.487309466105692,0.0334327645024698,0.0663180027733326,0.887159838943329,0.974907823770518,92,24.6642817621778,70.0885477056752
"result.67",0.8886205,0.076933,0.15960025,0.742790163157191,0.792722508360169,0.151339133280898,0.111866482559797,0.567644670405493,0.291269644867043,65,12,63.1827372765991
"result.68",0.055954,0.85290625,0.9775315,0.0928741321731402,0.519748062830424,0.512868588862824,0.623167463651061,0.907814751606444,0.969501129641308,91,22.9063462346101,69.8100261073507
"result.69",0.3501595,0.1863235,0.43482475,0.251161544466241,0.212201288301405,0.158628737739816,0.164316167043531,0.227411034794251,0.491290253861766,81,11.181269246922,68.4168584134946
"result.70",0.99426475,0.14661325,0.06569425,0.992659626450878,0.932005822927054,0.294507307834942,0.225841673959375,0.774564725042565,0.0717174287350548,79,6,69.5921062717916
"result.71",0.2152945,0.9385705,0.35190775,0.366765938811503,0.069027876945351,0.927271168488813,0.901555375492671,0.0765005873202418,0.293353943982825,89,6,70.6401635196129
"result.72",0.76049875,0.2832265,0.10765225,0.689074086456685,0.23909057675198,0.30577032940938,0.431945779765472,0.0965380213946165,0.163185947807238,68,3,65.0788784707827
"result.73",0.94081825,0.27498475,0.0734365,0.913156462213734,0.854033163945091,0.400429620868655,0.277761336924119,0.381983385939428,0.0860224715246114,83,8.18126924692202,70.1548618672708
"result.74",0.5989105,0.042967,0.277732,0.529184749375569,0.376970622415357,0.0413065355357986,0.0521500855124435,0.291549776586087,0.276330453028534,86,6,70.4276871572877
"result.75",0.605404,0.55120825,0.5369725,0.572490790241315,0.791146229557077,0.550598613903798,0.519837602252448,0.829469138553124,0.566516368061165,59,3,59.8623487623865
"result.76",0.02423575,0.67658275,0.82143775,0.0221753059643556,0.0297681674748427,0.375450237345786,0.625860635598677,0.0915405736077687,0.801519072958257,80,9,66.9346664380665
"result.77",0.61714225,0.466543,0.40385575,0.575693782869172,0.516169197922576,0.526011646525521,0.56339647406901,0.517493511090782,0.418852285564407,74,6,66.9320533588351
"result.78",0.10715275,0.74501425,0.9385705,0.154228770671357,0.605122856103244,0.449720117887924,0.51690289489835,0.809150584597492,0.924502807456165,88,26.3017432683338,69.0016314765179
"result.79",0.86339575,0.14011975,0.705304,0.593657717613186,0.99049360897726,0.448967178688646,0.0412062883863306,0.98864497597966,0.925225499905173,112,103.766356516583,70.4452092106121
"result.80",0.881128,0.0944155,0.2542555,0.86102724624613,0.908550819954493,0.104287579235952,0.0606071380980055,0.741364099096158,0.236110423806252,82,5.18126924692202,69.8836219397419
"result.81",0.713296,0.15460525,0.8846245,0.583555992534489,0.999009984475552,0.173502224506384,0.144151033550717,0.999009999012851,0.944049108250195,70,8.18126924692202,65.3799648023161
"result.82",0.38962,0.128881,0.80245675,0.263732378923286,0.732720767064227,0.101862249938378,0.1091325639372,0.872079234242367,0.849342874330428,83,3,69.5943086473328
"result.83",0.77398525,0.46978975,0.2312785,0.767811397170682,0.577806889232128,0.57093501564594,0.533777596655316,0.38554901384379,0.230251708412991,76,3,68.2106816532831
"result.84",0.80195725,0.43882075,0.3591505,0.795245562436982,0.877254482948744,0.524502211565952,0.425172452567611,0.790742452354653,0.393982993454164,74,6,67.4372581234167
"result.85",0.656353,0.46079875,0.4320775,0.654116936056508,0.644214018917624,0.557417803947078,0.434646116342453,0.602551528010892,0.445454546955937,84,26.7250769876881,69.1092124307502
"result.86",0.6308785,0.496513,0.37088875,0.625273040303818,0.550936725419799,0.543774006655235,0.545653045739994,0.4847086381449,0.407771442251601,83,3,69.8755084217421
"result.87",0.650359,0.06219775,0.4470625,0.483664158406358,0.716558818005551,0.0689796217685151,0.0856186469118591,0.58912041723277,0.473371861689341,78,6,68.4625636313579
